	Total Calories	Grains in Ounces	Vegetables in Cups	Fruits in Cups	Dairy in Cups	Protein Foods in Ounces	Oils in Teaspoons	Protein in Grams	% of Calories from Protein	Carbohydrate in Grams	% of Calories from Carbohydrate	Dietary Fiber in Grams	Total Sugars in Grams	Added Sugars in Grams	% of Calories from Added Sugars	Total Fat (% Calories Eaten )	Saturated Fat in Grams	% of Calories from Saturated Fat	Monounsaturated Fat in Grams	Polyunsaturated Fat in Grams	Linoleic Acid in Grams	 - Linolenic Acid in Grams	Omega 3- EPA in Milligrams	Omega 3- DHA in Milligrams	Cholesterol in Milligrams	Calcium in Milligrams	Potassium in Milligrams	Sodium in Milligrams	Copper in Micrograms	Iron in Milligrams	Magnesium in Milligrams	Phosphorus in Milligrams	Selenium in Micrograms	Zinc in Milligrams	Vitamin A in Micrograms RAE	Vitamin B6 in Milligrams	Vitamin B12 in Micrograms	Vitamin C in Milligrams	Vitamin D in Micrograms	Vitamin E in Milligrams AT	Vitamin K in Micrograms	Folate in Micrograms DFE	Thiamin in Milligrams	Riboflavin in Milligrams	Niacin in Milligrams	Choline in Milligrams
04/02/17	1404	1.0	1.5	0.25	0.75	4.5	4.0	60	17	138	39	19	73	40	11	38	23	15	21	11	11	0.9	3	2	75	886	2688	1623	1721	14	459	1203	44	10	1583	2.6	5.1	106	4	32	45	651	1.8	2.1	26	134
04/03/17	1343	6.5	1.25	0.0	2.0	1.5	3.0	78	23	117	35	14	46	5	1	25	11	8	8	7	6	1.0	0	0	202	720	1740	2235	219	3	100	586	29	3	444	0.5	2.3	35	6	2	63	232	0.4	1.0	3	101
04/04/17	286	2.0	0.25	0.0	0.0	1.5	0.0	9	12	45	62	1	0	0	0	8	0	0	0	0	0	0.0	0	0	16	36	103	364	113	2	23	75	12	1	42	0.2	0.0	9	0	0	9	164	0.3	0.0	2	5
04/05/17	1648	5.5	1.0	1.0	1.25	8.0	1.0	101	25	134	33	12	71	20	5	37	26	14	23	6	5	0.8	7	12	354	618	2281	2375	614	11	152	925	83	15	285	1.1	6.8	45	4	2	34	235	0.8	1.3	17	269
04/06/17	1155	8.0	0.25	0.0	0.0	1.5	0.0	65	23	125	43	14	13	0	0	13	6	5	0	0	0	0.1	0	0	178	72	804	1670	226	4	45	150	24	2	85	0.4	0.0	17	0	0	17	328	0.5	0.1	5	9
04/07/17	1157	4.0	0.75	1.0	1.25	5.0	1.0	68	23	132	46	9	47	21	7	31	16	12	13	4	3	0.6	6	10	216	850	1214	2114	463	6	132	783	70	6	415	1.5	3.2	43	2	8	78	300	0.7	1.2	18	139
04/08/17	1037	5.0	1.0	2.5	1.25	1.0	0.0	46	18	189	73	15	74	6	2	12	5	5	4	2	2	0.2	1	2	57	653	2008	1189	681	13	182	932	80	6	413	1.6	3.2	154	3	2	19	684	1.4	1.7	15	157
04/09/17	1054	2.5	2.5	1.0	0.0	7.5	2.0	69	26	143	54	13	59	25	9	22	7	6	9	6	5	0.4	7	11	195	214	2350	1900	984	6	181	721	76	4	1124	2.5	0.4	29	0	4	47	162	0.9	0.8	26	215
04/10/17	1689	9.5	1.0	0.0	0.5	2.5	5.0	56	13	269	64	15	36	18	4	23	12	6	19	9	8	0.4	12	13	60	582	1346	1003	1311	18	234	828	173	7	954	1.7	3.4	68	4	12	61	1181	2.9	1.9	31	128
04/11/17	No Data	0.0	0.0	0.0	0.0	0.0	0.0	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
04/12/17	2599	3.5	1.25	1.25	2.25	6.0	4.0	100	15	319	49	23	111	58	9	32	31	11	40	16	15	1.0	1	1	178	1137	2689	4539	1506	16	378	1624	173	12	409	1.1	5.3	22	1	15	77	682	1.9	2.7	23	263
04/13/17	2265	8.5	0.5	0.0	0.0	7.0	1.0	106	19	411	73	6	13	10	2	8	6	2	8	4	4	0.5	0	28	317	239	1523	1144	1159	19	246	1244	204	11	205	2.6	1.4	26	2	2	30	1420	3.4	0.9	36	288
04/14/17	2000	8.0	1.75	1.25	1.75	3.0	2.0	79	16	276	55	21	105	56	11	31	24	11	22	15	13	1.7	3	3	154	901	2939	1797	1398	14	339	1192	123	10	541	1.6	3.5	53	5	5	331	654	1.7	2.2	20	235
04/15/17	2502	6.5	0.0	0.0	3.0	2.0	0.0	85	14	286	46	31	106	67	11	41	58	21	21	5	4	0.8	2	0	334	1026	1151	4106	562	15	180	921	87	14	1147	1.6	6.1	17	7	2	7	1159	1.7	2.3	17	122
04/16/17	1479	9.0	0.25	2.75	3.5	9.5	0.0	91	25	177	48	22	70	0	0	26	19	11	13	6	2	0.4	0	0	180	668	1968	4156	748	4	171	1084	81	7	322	1.2	1.2	135	2	2	3	104	1.1	1.1	14	199
04/17/17	677	2.5	0.0	0.0	0.0	1.5	1.0	17	10	66	39	2	19	17	10	54	12	16	20	6	5	0.2	1	1	33	107	478	1225	470	5	61	549	20	1	2	0.1	0.7	0	0	2	9	129	0.6	0.8	6	45
04/18/17	2055	4.0	1.75	0.75	1.25	9.5	6.0	73	14	193	38	24	84	35	7	45	34	15	45	15	14	0.3	3	1	146	859	2914	1655	1738	12	478	1445	52	15	436	1.7	4.9	50	0	24	105	215	0.7	1.8	17	295
04/19/17	1122	6.5	1.25	0.0	0.0	3.0	1.0	86	30	191	68	5	49	41	15	13	4	3	6	4	3	0.3	5	44	227	162	887	483	505	8	100	531	66	4	165	1.0	0.6	23	1	2	27	520	0.9	0.4	15	183
04/20/17	1868	4.5	1.25	1.25	0.0	4.0	1.0	54	12	353	76	10	19	0	0	10	5	2	7	5	4	0.6	4	51	290	236	1384	693	1051	16	207	782	118	8	343	1.6	0.9	145	2	3	90	1207	2.1	0.7	19	254
04/21/17	908	7.5	0.5	0.0	0.0	0.5	0.0	30	13	188	83	3	11	10	4	3	0	0	1	0	0	0.1	0	0	8	72	309	199	481	8	83	285	47	3	3	0.6	0.0	5	0	0	5	615	1.0	0.1	9	17
04/22/17	512	4.0	1.0	0.0	0.0	0.5	1.0	15	12	100	78	4	4	0	0	9	1	2	2	2	2	0.3	0	1	9	66	800	330	467	5	55	236	28	3	106	0.8	0.4	9	0	2	34	328	0.7	0.2	6	21
04/23/17	1988	9.5	2.75	0.5	0.0	4.0	4.0	107	21	283	57	17	18	0	0	19	8	4	16	12	11	0.9	333	295	464	473	2390	3167	2169	15	328	1299	190	14	673	1.9	4.0	146	1	9	161	785	1.9	0.9	25	381
04/24/17	1283	9.0	3.0	0.0	0.0	0.5	1.0	37	12	227	71	9	25	10	3	9	7	5	1	1	1	0.2	0	0	8	166	1268	595	754	9	122	399	49	4	133	0.9	0.2	38	0	2	139	671	1.2	0.2	11	39
04/25/17	1427	5.5	1.25	0.0	0.0	2.5	1.0	42	12	202	57	7	5	0	0	11	4	2	6	5	5	0.7	40	46	124	214	1341	1183	782	8	187	636	80	5	537	1.4	1.0	40	0	3	132	460	1.0	0.6	15	236
04/26/17	947	7.5	1.0	0.0	0.25	0.5	0.0	25	11	188	80	6	8	0	0	6	2	2	2	2	1	0.2	0	0	13	159	1143	627	744	8	88	420	50	5	62	1.1	0.7	9	1	3	4	619	1.3	0.3	10	24
04/27/17	1942	4.0	1.25	1.25	2.75	7.5	9.0	84	17	223	46	32	99	41	8	41	24	11	36	23	19	3.1	2	3	155	1756	3753	2003	1449	10	484	1700	69	12	579	1.6	6.2	32	9	24	32	192	1.1	3.0	14	245
04/28/17	1924	8.5	2.0	0.0	0.0	0.0	0.0	45	9	417	87	11	11	0	0	2	1	1	1	1	1	0.2	0	0	0	194	1710	21387	1479	19	200	752	109	9	54	2.1	0.0	194	0	3	14	1397	2.6	0.4	23	41
04/29/17	815	7.5	0.0	0.0	0.0	0.0	0.0	17	8	177	87	3	0	0	0	2	0	1	1	0	0	0.1	0	0	0	63	221	6	436	8	76	272	47	3	0	0.6	0.0	0	0	0	0	607	1.0	0.1	9	13
04/30/17	611	6.0	0.0	0.0	0.0	0.0	0.0	13	8	133	87	2	0	0	0	2	0	1	0	0	0	0.1	0	0	0	47	166	5	327	6	57	204	36	2	0	0.4	0.0	0	0	0	0	455	0.8	0.1	7	10
05/01/17	No Data	0.0	0.0	0.0	0.0	0.0	0.0	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
05/02/17	1327	8.0	0.75	0.0	0.0	1.0	1.0	30	9	262	79	5	72	65	20	11	4	3	7	4	4	0.4	0	32	208	196	889	1045	744	10	108	487	69	5	116	10.4	10.2	3	1	3	8	644	1.3	3.2	51	154
05/03/17	No Data	0.0	0.0	0.0	0.0	0.0	0.0	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
05/04/17	1676	7.0	0.75	0.0	3.0	3.0	0.0	137	33	191	46	4	40	0	0	20	15	8	14	4	4	0.3	0	0	313	1110	3124	2322	719	9	272	1955	222	13	685	3.1	5.6	62	10	1	53	569	3.0	2.4	38	408
05/05/17	2941	5.0	1.5	0.0	1.25	7.5	2.0	268	36	218	30	12	15	12	2	31	23	7	40	32	27	3.6	0	55	932	685	4519	5834	1348	20	401	2898	450	21	565	5.7	5.9	83	5	9	155	603	6.4	3.2	82	853
05/06/17	1493	8.5	0.25	6.75	2.0	3.0	2.0	70	19	256	69	11	112	7	2	14	7	4	8	7	6	0.8	2	7	132	1204	2758	1633	1047	12	254	1140	115	7	632	1.6	3.0	91	6	2	50	528	2.3	2.0	21	255
05/07/17	1108	4.0	2.0	0.0	0.0	8.5	2.0	96	35	115	41	7	7	0	0	22	8	7	10	7	5	0.9	0	14	327	249	1759	919	1038	16	175	881	92	19	679	2.0	5.8	80	1	5	213	478	1.4	1.6	22	399
05/08/17	1421	8.5	0.75	0.0	2.0	7.0	1.0	108	30	181	51	9	40	8	2	14	9	6	6	4	3	0.4	1	0	224	1002	2490	2243	657	10	198	1361	159	9	452	2.2	3.7	33	7	2	34	555	2.5	1.8	28	268
05/09/17	1270	4.0	4.25	0.0	0.0	5.0	5.0	87	27	176	55	17	35	20	6	24	5	4	13	13	11	1.8	0	9	151	346	2398	922	1002	12	250	741	77	6	1523	2.2	0.5	93	0	8	574	607	1.1	0.9	19	226
05/10/17	1933	9.5	3.25	0.0	0.0	1.5	5.0	117	24	277	57	16	12	0	0	17	6	3	13	13	10	1.6	5	17	286	335	2479	1527	1224	16	299	1161	157	9	1120	3.2	0.6	74	0	8	407	993	1.9	1.1	36	323
05/11/17	1322	8.5	1.5	0.0	0.0	5.0	2.0	60	18	223	67	8	6	0	0	12	4	3	7	5	4	0.7	60	129	104	219	1448	643	813	13	196	722	115	6	486	1.6	1.5	37	1	3	173	790	1.8	0.5	19	180
05/12/17	1358	7.5	2.25	0.0	0.0	3.0	3.0	50	15	211	62	11	8	0	0	21	8	5	12	7	6	1.1	0	0	98	279	1427	624	873	13	186	590	73	10	750	1.5	1.7	72	0	4	260	776	1.3	0.5	15	159
05/13/17	1414	5.0	4.25	0.0	0.0	8.0	5.0	79	22	168	48	15	15	2	0	24	6	4	12	11	10	1.7	0	8	184	436	2344	2695	908	12	242	770	84	7	1355	2.3	1.4	135	0	7	456	615	1.1	0.9	19	238
05/14/17	889	0.5	0.5	0.0	0.0	4.5	0.0	114	51	54	24	1	35	32	14	22	7	7	9	2	2	0.1	5	8	338	135	1869	2062	328	5	141	1120	166	9	141	2.7	2.7	26	1	1	27	95	1.7	1.0	35	310
05/15/17	1175	8.5	2.25	0.75	1.0	0.5	0.0	34	12	241	82	9	34	0	0	6	3	2	2	2	1	0.3	0	1	22	421	1363	177	920	10	160	658	69	5	302	1.3	1.2	132	3	2	43	790	1.4	0.8	15	96
05/16/17	1171	4.5	1.75	0.0	0.0	3.5	4.0	39	13	177	60	9	40	33	11	23	5	4	11	10	9	0.8	0	0	62	227	1478	945	659	8	139	429	62	5	467	1.2	0.4	40	0	5	179	464	1.2	0.5	11	114
05/17/17	1079	6.0	1.75	0.0	0.0	2.0	2.0	35	13	195	72	8	39	32	12	14	4	3	7	5	4	0.7	0	0	46	208	1140	367	633	9	139	441	67	5	552	1.2	0.4	52	0	3	190	576	1.3	0.4	12	112
05/18/17	1313	9.5	1.75	0.0	0.0	2.0	2.0	43	13	247	75	10	6	0	0	10	3	2	5	5	4	0.8	0	4	57	200	1127	335	839	12	173	568	79	6	476	1.5	0.2	35	0	3	179	864	1.5	0.4	17	101
05/19/17	481	4.0	1.25	0.0	0.0	0.0	0.0	13	11	98	81	5	5	0	0	8	1	2	1	2	2	0.2	0	0	0	113	1057	447	515	5	53	246	25	3	167	0.9	0.5	31	0	3	31	349	0.7	0.2	6	11
05/20/17	1359	6.0	2.5	0.0	0.0	7.0	0.0	104	31	175	52	15	25	0	0	13	5	4	4	3	3	0.2	6	10	265	111	1775	2295	470	7	179	790	88	5	164	1.8	0.3	43	0	2	28	418	0.9	0.6	24	243
05/21/17	1387	5.5	0.25	1.0	0.0	7.0	0.0	149	43	142	41	4	27	2	1	14	7	5	9	3	3	0.2	1	0	364	245	2696	2595	830	9	219	1602	254	11	90	3.5	2.7	25	2	1	40	421	3.6	1.5	48	381
05/22/17	1084	5.5	0.5	0.0	0.0	9.0	1.0	83	30	117	43	4	4	2	1	24	8	7	11	7	6	0.5	1	82	663	334	1487	1645	538	10	136	1011	161	7	406	1.8	2.1	22	4	3	35	479	1.9	1.3	23	497
05/23/17	1387	6.5	2.0	1.25	0.0	3.5	3.0	43	12	216	62	12	51	0	0	12	3	2	7	7	6	0.9	0	5	84	217	1371	668	718	9	162	514	62	4	679	1.5	0.2	57	0	4	244	599	1.1	0.5	14	122
05/24/17	793	2.0	0.0	0.0	0.0	1.0	1.0	81	41	57	29	1	0	0	0	15	3	4	5	3	3	0.4	0	0	207	78	1274	1158	968	12	41	675	47	15	0	0.3	3.4	0	0	1	11	187	0.5	1.8	15	335
05/25/17	740	5.0	0.75	0.25	0.0	3.5	0.0	23	12	118	64	4	3	0	0	8	0	0	0	0	0	0.1	0	0	40	168	490	950	317	6	73	219	30	2	241	0.6	0.0	79	0	0	49	457	0.7	0.1	6	18
05/26/17	507	4.0	1.0	0.0	0.0	1.5	0.0	15	12	92	72	3	2	0	0	6	0	1	0	0	0	0.1	0	0	16	179	475	444	253	5	65	189	24	2	314	0.6	0.0	70	0	0	64	397	0.6	0.1	5	16
05/27/17	482	4.0	0.75	0.0	0.0	1.0	0.0	17	14	91	76	2	2	0	0	8	1	1	1	2	1	0.2	134	145	40	254	507	161	299	6	70	317	39	2	252	0.6	2.5	56	1	1	50	378	0.6	0.2	7	35
05/28/17	1449	7.5	0.75	1.0	0.0	1.5	0.0	112	31	209	58	5	22	0	0	9	3	2	4	3	2	0.2	12	18	299	158	1917	1708	713	10	202	1044	149	6	84	3.5	0.6	94	0	3	36	706	1.4	0.8	41	277
05/29/17	756	6.5	0.75	1.0	0.0	3.0	0.0	38	20	138	73	7	11	0	0	6	2	2	2	1	1	0.1	0	0	68	112	922	1263	432	4	95	444	68	4	130	0.9	0.5	36	0	1	27	205	0.9	0.4	11	94
05/30/17	1256	9.0	0.5	0.0	0.25	4.0	3.0	57	18	179	57	7	17	13	4	23	9	7	11	9	7	1.1	21	39	155	239	785	1970	409	6	98	552	71	4	295	1.2	0.7	38	0	3	50	267	0.6	0.5	19	121
05/31/17	1395	6.5	2.25	0.0	0.0	1.5	2.0	111	32	183	53	9	7	0	0	14	4	3	7	6	5	0.7	10	18	294	262	2269	1581	861	11	225	1072	142	7	896	3.6	0.6	88	0	5	183	692	1.4	1.0	39	287
06/01/17	819	5.0	0.25	1.5	0.0	2.5	1.0	30	15	144	70	8	26	0	0	15	3	4	5	3	3	0.3	9	85	212	215	864	408	471	7	97	401	71	4	157	0.8	1.5	148	1	2	13	496	0.9	0.5	11	177
06/02/17	1549	6.0	0.5	0.0	0.0	3.0	0.0	188	49	128	33	4	1	0	0	15	9	5	12	3	2	0.2	0	0	477	148	3112	3482	748	8	254	1991	318	14	169	4.3	3.6	34	2	1	35	355	4.1	1.6	58	480
06/03/17	1277	9.0	0.25	0.0	2.25	1.0	0.0	41	13	192	60	5	32	0	0	26	12	8	14	9	8	0.6	0	0	36	1016	1201	2164	732	9	143	910	75	6	338	0.6	2.5	1	7	3	16	519	1.2	1.5	12	124
06/04/17	864	6.5	0.25	0.25	1.0	1.0	1.0	32	15	149	69	4	24	3	1	15	4	5	5	3	3	0.4	1	15	123	614	912	818	436	8	100	564	61	5	274	0.6	1.7	12	3	1	24	481	1.0	0.9	10	145
06/05/17	1701	8.5	1.0	1.0	0.0	1.0	1.0	103	24	280	66	9	93	63	15	9	3	2	6	5	3	0.5	10	17	273	185	1827	2303	796	8	179	932	131	6	348	3.1	0.5	41	0	3	127	401	1.0	0.8	33	259
06/06/17	882	5.0	0.0	0.0	1.0	5.5	0.0	57	26	106	48	2	14	0	0	7	3	3	2	1	1	0.1	121	257	132	413	1205	1255	428	6	150	772	96	4	190	1.0	3.4	4	4	2	2	344	0.6	0.6	13	189
06/07/17	983	6.0	0.5	0.0	0.0	5.0	2.0	45	18	97	40	2	2	0	0	10	2	2	4	4	3	0.5	107	227	120	191	892	709	311	7	127	526	82	3	205	0.9	2.0	36	1	2	44	385	0.7	0.2	12	139
06/08/17	1754	4.0	0.25	2.5	1.25	7.0	2.0	67	15	234	53	18	121	64	15	32	31	16	19	8	6	0.9	48	363	286	610	1814	1286	1239	12	255	1076	171	8	356	1.2	6.4	30	5	4	43	326	0.9	1.3	23	287
06/09/17	855	6.0	1.25	0.0	0.0	3.0	0.0	45	21	129	60	8	8	0	0	13	4	4	3	2	2	0.2	16	140	245	137	1223	828	574	8	84	435	86	4	224	1.1	2.2	43	2	3	25	438	0.8	0.4	13	148
06/10/17	930	5.0	0.25	0.0	1.0	1.0	1.0	49	21	111	48	12	29	6	3	22	7	7	7	4	3	0.5	0	24	251	437	1106	986	318	4	116	586	41	4	294	0.5	1.5	17	4	2	24	222	0.5	0.8	4	176
06/11/17	1199	5.0	0.25	1.5	1.0	1.0	1.0	50	17	142	47	18	58	6	2	18	7	6	7	4	3	0.6	0	28	275	424	1884	1003	448	4	168	609	40	4	269	1.3	1.6	29	4	2	17	183	0.5	1.0	4	212
06/12/17	662	4.5	0.0	0.0	0.0	0.0	0.0	52	31	36	22	12	12	0	0	19	6	8	0	0	0	0.0	0	0	162	0	598	1292	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0.0	0.0	0	0
06/13/17	753	5.0	0.5	0.0	0.0	3.0	0.0	31	17	116	61	2	2	0	0	20	5	6	6	3	3	0.2	0	87	555	207	574	480	461	8	82	503	77	4	413	0.8	1.1	34	3	2	36	484	0.7	0.8	7	366
06/14/17	1878	6.5	0.5	0.0	1.0	2.0	4.0	213	45	141	30	4	18	3	1	22	9	5	16	13	11	1.3	25	36	615	661	3060	3614	644	10	272	1908	254	9	366	6.1	2.3	38	3	6	56	547	1.5	2.0	71	546
06/15/17	749	6.5	0.25	0.0	0.0	1.5	1.0	23	12	122	65	4	1	0	0	20	4	5	6	5	4	0.5	0	56	362	123	298	1247	309	4	48	338	56	3	240	0.4	0.7	17	2	2	25	214	0.4	0.5	3	254
06/16/17	1370	6.0	2.0	0.0	0.0	1.5	0.0	52	15	127	37	15	17	0	0	43	54	36	3	1	1	0.0	11	75	95	80	1638	795	1346	9	151	593	92	4	7	0.6	1.0	7	17	1	0	366	0.7	0.6	18	78
06/17/17	916	5.0	1.0	2.0	0.0	0.0	0.0	49	21	124	54	22	48	0	0	12	5	5	0	0	0	0.1	0	0	122	274	1482	1017	336	3	83	167	14	1	221	0.6	0.0	247	0	1	42	336	0.7	0.3	4	51
06/18/17	2557	3.0	1.0	3.75	0.0	6.5	1.0	169	26	348	55	23	95	0	0	13	10	4	11	5	4	0.9	17	45	399	240	3770	3244	1675	14	319	1662	240	12	647	4.0	3.0	249	2	9	142	1091	3.6	1.3	48	388
06/19/17	1748	9.5	1.0	1.25	0.0	1.5	0.0	108	25	261	60	9	33	0	0	13	8	4	10	5	4	0.4	0	58	559	258	2647	1788	1257	14	227	1340	201	11	456	3.1	2.5	121	3	5	45	947	2.9	1.3	34	450
06/20/17	2345	3.5	2.5	0.0	0.25	7.5	0.0	107	18	311	53	17	48	25	4	20	22	8	15	4	3	0.6	5	0	292	582	2676	2383	821	14	224	1020	112	9	569	2.3	1.6	88	2	2	131	984	3.0	1.2	23	249
06/21/17	1617	6.0	4.0	0.0	0.0	9.5	5.0	79	20	194	48	16	14	0	0	24	8	4	15	12	10	1.7	4	14	168	406	2457	1911	1053	13	249	800	104	8	1342	2.3	1.0	119	1	7	468	745	1.9	0.9	19	246
06/22/17	2108	9.5	4.75	0.75	0.0	6.0	5.0	80	15	313	59	22	52	32	6	17	9	4	15	12	10	1.7	0	0	123	609	3062	1241	1288	18	308	932	127	10	1560	2.8	0.9	268	1	7	499	1063	2.6	1.0	22	268
06/23/17	2336	2.0	5.0	2.75	0.25	5.5	4.0	79	14	419	72	74	116	0	0	16	8	3	15	14	13	1.2	32	223	60	843	6508	1618	2540	20	490	1251	160	9	593	3.5	3.1	429	2	12	230	1411	2.7	1.6	39	261
06/24/17	2167	3.0	1.25	1.5	0.0	3.5	1.0	158	29	284	52	21	35	0	0	13	10	4	10	5	4	0.6	0	1	373	270	3164	2989	1095	12	270	1499	228	12	348	3.4	2.1	189	1	3	121	769	3.5	1.2	43	350
06/25/17	1655	1.0	2.5	2.5	0.0	0.5	2.0	61	15	287	69	24	71	1	0	11	6	3	5	5	4	1.0	0	0	96	352	2418	1153	1226	12	202	549	63	5	734	1.9	0.2	232	0	6	216	966	1.5	0.6	15	127
06/26/17	1617	1.5	1.5	0.0	1.0	1.0	0.0	119	29	234	58	7	20	3	1	11	7	4	7	3	3	0.4	1	0	239	797	2754	2026	842	14	246	1508	210	11	430	3.0	2.9	60	4	1	98	875	3.3	1.6	40	315
06/27/17	2045	7.5	8.25	1.5	0.0	3.0	3.0	68	13	394	77	37	47	0	0	11	5	2	9	8	7	1.2	12	34	62	439	5512	838	1881	18	416	1209	92	9	788	4.0	1.1	355	1	6	284	984	2.6	0.9	26	301
06/28/17	1493	1.5	1.75	0.0	0.0	4.0	0.0	84	22	208	56	10	9	0	0	14	8	5	6	3	2	0.2	0	58	450	236	1004	927	565	10	114	519	79	5	412	1.0	0.8	92	2	2	53	718	1.1	0.6	10	256
06/29/17	1398	4.5	2.25	0.0	2.5	0.5	0.0	42	12	276	79	8	7	0	0	3	1	1	1	1	1	0.2	0	0	8	200	1363	1254	975	13	154	521	73	6	169	1.4	0.0	70	0	2	39	974	1.8	0.3	16	32
06/30/17	2214	2.5	2.75	0.0	0.0	5.5	1.0	67	12	301	54	16	17	0	0	30	54	22	7	5	4	0.6	40	0	87	442	2903	1492	1836	20	366	1050	121	10	596	2.3	0.8	136	0	6	178	1140	2.2	0.6	22	145
07/01/17	1333	1.0	1.0	0.0	0.0	2.0	1.0	55	17	205	62	11	9	0	0	10	4	3	2	2	2	0.3	0	1	116	169	1026	1140	549	9	110	367	54	4	255	1.0	0.1	34	0	1	91	680	1.1	0.2	11	48
07/02/17	1954	1.0	3.0	0.25	0.0	5.0	3.0	86	18	270	55	15	51	32	6	20	11	5	13	10	8	1.2	0	56	505	361	1881	1821	866	14	182	772	109	7	878	1.7	1.1	87	2	5	237	812	1.7	0.9	14	364
07/03/17	1256	8.5	1.5	0.0	0.0	4.5	4.0	60	19	188	60	12	39	30	9	22	7	5	11	10	9	1.2	55	136	130	226	1515	1083	833	9	190	789	112	6	109	1.6	1.1	13	1	5	33	403	1.2	0.6	20	143
07/04/17	1150	8.5	2.0	0.0	0.75	1.0	0.0	39	14	225	78	10	21	0	0	7	3	2	3	3	2	0.4	0	0	31	332	2019	776	1021	10	180	704	72	7	162	1.8	1.4	19	2	4	15	696	1.7	0.7	17	78
07/05/17	No Data	0.0	0.0	0.0	0.0	0.0	0.0	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
07/06/17	1336	1.5	0.75	0.0	0.0	2.5	0.0	39	12	252	76	6	16	10	3	8	3	2	3	2	2	0.2	1	1	40	113	881	913	891	12	128	521	74	6	11	1.1	0.4	37	0	1	3	796	1.7	0.3	15	63
07/07/17	840	3.0	1.0	0.0	0.0	1.5	1.0	88	42	69	33	4	13	7	3	18	4	4	5	3	2	0.3	141	300	211	152	1415	3543	323	6	157	715	106	5	75	1.1	4.5	20	1	2	33	67	0.2	0.4	14	263
07/08/17	2619	9.0	1.5	0.0	0.0	5.5	1.0	91	14	481	73	12	92	84	13	12	8	3	12	9	8	0.6	0	5	156	246	1608	2733	1424	17	222	1108	155	10	97	1.9	0.8	24	1	5	14	971	2.5	0.7	26	150
07/09/17	1379	9.0	1.0	0.0	0.0	7.5	0.0	73	21	181	52	4	2	0	0	8	3	2	4	2	1	0.1	0	0	115	77	944	1164	575	8	125	632	102	6	6	1.4	0.7	23	0	1	3	621	1.7	0.5	20	109
07/10/17	1092	7.5	0.25	0.0	0.0	5.5	1.0	69	25	161	59	4	4	3	1	13	4	4	6	3	2	0.3	4	6	151	104	972	5191	509	8	124	620	94	6	40	1.5	2.1	8	0	2	36	411	0.8	0.5	20	182
07/11/17	822	6.0	1.0	0.0	0.5	1.5	0.0	23	11	157	76	6	9	0	0	7	1	1	1	2	2	0.2	0	0	16	66	929	819	578	7	86	337	37	4	38	0.9	0.3	30	0	2	5	480	1.0	0.2	9	35
07/12/17	1884	3.5	2.0	0.0	0.0	5.0	0.0	70	15	334	71	13	18	1	0	13	17	8	3	3	3	0.3	97	205	101	197	2086	1551	1277	17	269	1031	131	8	73	2.0	2.1	30	1	3	9	1092	2.1	0.4	25	184
07/13/17	1117	6.5	1.25	0.0	0.0	6.5	0.0	76	27	167	60	7	20	12	4	11	4	3	5	2	1	0.1	2	1	128	145	1682	1723	804	10	102	818	90	10	18	1.7	1.9	28	0	2	5	499	1.5	0.7	20	119
07/14/17	1005	7.5	1.25	0.0	0.0	2.0	0.0	28	11	187	74	7	6	0	0	6	1	1	1	2	1	0.2	0	0	24	91	1204	3346	797	9	82	380	49	5	28	1.1	0.3	9	0	3	3	617	1.3	0.2	10	14
07/15/17	1419	3.0	1.75	0.0	0.0	2.0	0.0	53	15	277	78	8	7	0	0	5	2	1	2	2	1	0.2	0	0	0	129	1102	378	964	12	132	502	72	6	8	1.2	0.0	19	0	2	7	933	1.7	0.2	15	27
07/16/17	1132	9.5	0.25	0.0	0.0	4.0	0.0	44	15	225	79	4	2	0	0	3	1	1	1	1	1	0.1	32	223	41	105	557	290	635	12	126	511	140	5	25	1.2	2.9	23	1	1	2	769	1.3	0.2	23	53
07/17/17	1122	9.5	0.0	0.0	0.0	2.5	0.0	36	13	222	79	3	1	0	0	3	1	1	1	1	1	0.1	40	86	47	103	518	405	575	10	123	472	80	4	17	0.9	0.7	15	0	1	1	768	1.3	0.1	14	62
