	Total Calories	Grains in Ounces	Vegetables in Cups	Fruits in Cups	Dairy in Cups	Protein Foods in Ounces	Oils in Teaspoons	Protein in Grams	% of Calories from Protein	Carbohydrate in Grams	% of Calories from Carbohydrate	Dietary Fiber in Grams	Total Sugars in Grams	Added Sugars in Grams	% of Calories from Added Sugars	Total Fat (% Calories Eaten )	Saturated Fat in Grams	% of Calories from Saturated Fat	Monounsaturated Fat in Grams	Polyunsaturated Fat in Grams	Linoleic Acid in Grams	 - Linolenic Acid in Grams	Omega 3- EPA in Milligrams	Omega 3- DHA in Milligrams	Cholesterol in Milligrams	Calcium in Milligrams	Potassium in Milligrams	Sodium in Milligrams	Copper in Micrograms	Iron in Milligrams	Magnesium in Milligrams	Phosphorus in Milligrams	Selenium in Micrograms	Zinc in Milligrams	Vitamin A in Micrograms RAE	Vitamin B6 in Milligrams	Vitamin B12 in Micrograms	Vitamin C in Milligrams	Vitamin D in Micrograms	Vitamin E in Milligrams AT	Vitamin K in Micrograms	Folate in Micrograms DFE	Thiamin in Milligrams	Riboflavin in Milligrams	Niacin in Milligrams	Choline in Milligrams
01/22/17	466	2.0	0.5	0.0	0.0	2.5	0.0	37	32	67	58	7	2	0	0	9	1	3	2	1	1	0.1	0	0	54	66	558	500	404	5	82	352	51	3	4	0.6	0.5	1	1	0	3	213	0.8	0.4	11	117
01/23/17	430	2.0	0.5	0.0	0.0	3.0	0.0	35	32	57	53	2	2	0	0	13	2	4	2	1	1	0.1	0	0	80	54	633	1245	371	3	75	401	58	3	3	0.8	0.6	6	0	0	27	200	0.9	0.4	11	94
01/24/17	972	6.0	0.5	0.0	0.0	7.0	0.0	72	29	135	56	3	1	0	0	12	5	4	6	2	1	0.2	0	0	160	130	1344	1041	505	7	133	818	130	7	97	1.9	1.2	20	1	1	32	496	2.0	0.6	25	173
01/25/17	363	3.0	0.0	0.0	0.5	0.0	0.0	8	9	66	73	2	1	0	0	17	3	7	2	1	1	0.0	0	0	0	30	121	670	174	3	31	108	20	1	0	0.2	0.1	0	0	1	3	194	0.4	0.1	4	5
01/26/17	779	6.0	0.75	0.0	0.0	1.5	0.0	29	15	145	75	4	5	0	0	5	1	1	2	1	1	0.1	0	0	27	92	578	462	434	7	86	346	53	4	88	0.8	0.3	19	0	1	32	489	1.0	0.2	12	64
01/27/17	523	4.0	0.0	1.0	0.0	1.0	1.0	15	11	93	71	3	20	0	0	15	2	4	3	3	2	0.3	0	28	181	59	178	215	253	5	44	232	39	2	78	0.4	0.4	0	1	1	4	320	0.5	0.3	5	128
01/28/17	1715	2.5	1.0	2.0	0.0	4.0	1.0	61	14	342	80	20	45	0	0	6	3	1	4	3	2	0.4	0	0	73	222	1754	599	1243	14	216	798	116	7	582	2.0	0.5	64	0	4	160	1038	2.3	0.5	23	136
01/29/17	1580	3.5	1.5	0.5	0.0	2.0	0.0	47	12	286	73	7	17	0	0	4	2	1	3	2	2	0.3	0	0	45	245	1454	667	914	13	160	685	100	7	310	1.8	0.7	61	0	2	61	999	2.1	0.4	20	73
01/30/17	1502	3.0	0.0	0.0	0.0	7.0	0.0	75	20	269	72	4	1	0	0	6	3	2	4	2	1	0.2	22	151	125	121	1030	1096	856	14	174	877	186	8	26	1.9	2.7	0	1	1	0	928	2.3	0.5	32	138
01/31/17	769	6.5	3.0	0.0	0.0	0.0	0.0	21	11	164	85	6	5	0	0	3	1	1	0	1	1	0.1	0	0	0	82	938	43	866	8	94	402	55	4	0	0.8	0.1	51	0	0	16	612	1.1	0.7	14	80
02/01/17	887	5.0	0.25	1.0	0.0	7.0	1.0	60	27	128	58	5	18	0	0	14	4	4	5	3	3	0.3	24	195	280	158	1043	870	478	8	118	666	146	5	149	1.4	3.1	78	2	2	13	451	1.3	0.6	23	233
02/02/17	839	3.0	0.0	0.0	0.0	6.5	2.0	56	27	68	32	1	1	0	0	39	9	10	14	10	8	0.9	0	112	791	137	752	1276	368	7	80	743	118	5	311	1.1	2.0	0	4	4	15	296	1.0	1.1	11	557
02/03/17	635	6.0	0.0	1.5	0.0	0.0	0.0	13	8	139	87	5	30	0	0	2	0	1	0	0	0	0.1	0	0	0	47	166	8	327	6	57	204	36	2	0	0.4	0.0	0	0	0	0	455	0.8	0.1	7	10
02/04/17	1348	2.5	2.25	0.0	0.0	2.0	0.0	44	13	271	81	6	4	0	0	4	2	1	2	1	1	0.2	0	0	45	171	1018	327	874	12	168	643	99	6	94	1.4	0.3	25	0	1	34	968	2.0	0.4	19	80
02/05/17	1407	6.0	0.25	0.0	1.0	1.0	0.0	37	10	262	74	3	126	107	31	15	14	9	7	2	2	0.5	0	0	81	855	1208	476	506	7	146	874	77	5	255	0.7	1.0	23	0	1	20	520	1.0	1.1	8	235
02/06/17	423	3.0	1.5	0.0	0.0	3.0	0.0	28	26	71	67	2	3	0	0	4	0	1	0	0	0	0.0	64	137	62	85	672	360	320	4	93	345	51	2	27	0.6	1.2	7	1	1	13	265	0.5	0.1	8	86
02/07/17	993	7.0	0.25	0.0	0.0	3.5	1.0	47	19	158	64	3	2	2	1	15	4	4	6	4	3	0.4	4	36	245	108	578	1441	475	9	99	509	78	5	95	0.9	1.5	4	1	2	19	486	0.9	0.4	15	217
02/08/17	324	3.0	0.25	0.5	0.0	0.0	0.0	7	9	70	87	2	10	0	0	2	0	1	0	0	0	0.0	0	0	0	24	83	4	164	3	28	102	18	1	0	0.2	0.0	0	0	0	0	228	0.4	0.0	3	5
02/09/17	240	2.0	0.5	0.0	0.0	0.0	0.0	7	11	50	83	3	2	0	0	7	0	1	0	1	1	0.1	0	0	0	37	445	145	236	3	28	119	13	1	28	0.4	0.2	26	0	1	56	178	0.4	0.1	3	19
02/10/17	343	3.0	0.25	0.0	0.0	1.5	0.0	14	16	67	78	1	0	0	0	3	0	1	0	0	0	0.0	11	75	14	30	152	99	183	3	37	155	45	1	7	0.3	1.0	0	0	0	0	229	0.4	0.1	7	16
02/11/17	648	4.0	0.5	1.0	0.0	3.5	0.0	35	21	117	72	3	27	0	0	3	0	1	0	1	0	0.1	81	172	78	81	638	476	289	5	97	403	65	2	25	0.7	1.5	3	1	1	2	328	0.6	0.1	10	98
02/12/17	1164	7.0	0.25	1.25	0.0	6.5	0.0	62	21	174	60	3	29	0	0	3	1	1	1	1	1	0.1	145	308	152	166	1078	1437	491	9	166	708	115	4	90	1.2	2.8	13	1	1	12	513	1.0	0.2	17	182
02/13/17	701	4.0	0.5	0.0	0.0	5.0	1.0	50	28	101	57	4	3	0	0	12	3	3	4	2	2	0.3	0	0	96	79	946	697	421	6	100	533	80	4	155	1.2	0.7	17	0	1	61	351	1.3	0.4	15	114
02/14/17	594	4.5	0.25	0.5	0.0	1.0	1.0	18	12	106	71	3	12	1	1	15	2	4	4	3	3	0.3	0	28	181	126	208	343	285	6	50	259	44	2	78	0.4	0.4	0	1	1	4	365	0.7	0.3	6	132
